endTime,artistName,trackName,msPlayed
2020-12-07 13:16,49th & Main,Raw Mixer,247620
2020-12-07 13:21,NewDad,I Don't Recognise You,275013
2020-12-07 13:25,FINE.,Coldblooded,244320
2020-12-07 13:29,XANDY,(In)xanity,229568
2020-12-07 16:00,Roundrobin,Sunlight,101381
2020-12-08 09:08,Roundrobin,Sunlight,48164
2020-12-08 09:11,Lowgo,Are We Cool?,146602
2020-12-08 09:14,Charlotte Sands,Dress,143500
2020-12-08 09:17,JESSIA,Really Nice To Think About,178343
2020-12-08 09:21,caro♡,hide me here,201317
2020-12-08 09:24,SAVI MINDS,DON'T WANNA FEEL A SINGLE THING,220500
2020-12-08 09:28,Suzuki Saint,Company,186581
2020-12-08 09:31,C. James,Words That We Said,155625
2020-12-08 09:32,Facta,MPH,58022
2020-12-08 09:34,LOWLIFE,WASTELAND,175493
2020-12-08 09:37,Mario Puglia,Rosedale,142653
2020-12-08 09:39,Sinner & James,The Club Scene,148113
2020-12-08 09:43,Magsy,COUNT ON U,202577
2020-12-08 09:46,Jay Isaiah,Stole My Love,211034
2020-12-08 09:50,GLDI,Cake,156262
2020-12-08 09:53,Marcus Cito,Way Down,190080
2020-12-08 09:57,Jades Goudreault,motel 6,214000
2020-12-08 10:00,Lydia Samuel,Doesn't Matter,176000
2020-12-08 10:03,Health Club,Different,229606
2020-12-08 10:06,Mutual Beatz,Long Tin,151525
2020-12-08 10:06,Berry Galazka,Man Can't Hang,1670
2020-12-08 10:08,Goldmyth,Isn't It Easy,75960
2020-12-08 10:10,Camila Cabello,My Oh My (feat. DaBaby),170746
2020-12-08 10:13,Ariana Grande,positions,172324
2020-12-08 10:16,Normani,Motivation,193837
2020-12-08 10:19,Katy Perry,Daisies,173123
2020-12-08 10:23,Zara Larsson,WOW (feat. Sabrina Carpenter) - Remix,179652
2020-12-08 10:26,Clean Bandit,Tick Tock (feat. 24kGoldn),178373
2020-12-08 10:29,Charlie Puth,Girlfriend,177438
2020-12-08 10:30,Bebe Rexha,"Baby, I'm Jealous (feat. Doja Cat)",52070
2020-12-10 13:20,Carlie Hanson,Daze Inn,150183
2020-12-10 13:22,Paul Woolford,Looking For Me,111135
2020-12-10 13:27,Mothica,VICES,177792
2020-12-10 13:28,Pabllo Vittar,Rajadão,32015
2020-12-10 13:28,Karen Harding,Undo My Heart,78841
2020-12-10 13:30,Tom Gregory,Fingertips,4198
2020-12-10 13:36,Tom Gregory,Fingertips,161233
2020-12-10 13:39,Chloe x Halle,Do It,176786
2020-12-10 13:43,YFN Lucci,Wet (She Got That…),209848
2020-12-10 13:46,Jubël,Someone,181101
2020-12-10 13:48,Christina Aguilera,"Loyal Brave True - From ""Mulan""",160316
2020-12-10 13:56,Christina Aguilera,"Loyal Brave True - From ""Mulan""",5883
2020-12-10 13:59,Pink Sweat$,17,160736
2020-12-10 14:02,John Gibbons,Let Me Love You,186788
2020-12-10 14:04,Felix Jaehn,SICKO,157906
2020-12-10 14:07,Mimi Webb,Before I Go,187815
2020-12-10 14:11,Nick Jonas,Until We Meet Again,197540
2020-12-10 14:14,Holly Humberstone,Falling Asleep At The Wheel,203247
2020-12-10 14:18,MARINA,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,214106
2020-12-10 14:19,GRACEY,Empty Love,60509
2020-12-10 14:22,Ella Eyre,L.O.V.(e).,173600
2020-12-10 14:23,Felix Cartal,Mine,59154
2020-12-14 16:19,Felix Cartal,Mine,141707
2020-12-14 16:22,Nathan Dawe,Lighter (feat. KSI),182439
2020-12-14 16:25,David Puentez,Superstar,165000
2020-12-14 16:28,Manu Gavassi,Deve ser horrível dormir sem mim,155052
2020-12-14 16:31,5 Seconds of Summer,Old Me,186785
2020-12-14 16:32,Sonny Fodera,Before U (feat. AlunaGeorge),79765
2020-12-15 11:59,Bebe Rexha,"Baby, I'm Jealous (feat. Doja Cat)",29710
2020-12-15 12:01,Sista Prod,"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",156187
2020-12-15 12:06,BANNERS,Someone To You,219813
2020-12-15 12:09,AJR,Bang!,170858
2020-12-15 12:12,Ritt Momney,Put Your Records On,210463
2020-12-15 12:24,Sub Urban,Cradles,209829
2020-12-15 12:27,JayXander,HOODIES,180313
2020-12-15 12:30,Leah Kate,Fuck Up the Friendship,172757
2020-12-15 12:33,The Kid LAROI,WITHOUT YOU,161384
2020-12-15 12:36,Ashe,Moral of the Story (feat. Niall Horan),198515
2020-12-15 12:39,Dixie,One Whole Day (feat. Wiz Khalifa),176854
2020-12-15 12:41,Fousheé,Deep End,36037
2020-12-19 13:26,Sonny Fodera,Before U (feat. AlunaGeorge),18770
2020-12-19 13:26,Sonny Fodera,Before U (feat. AlunaGeorge),34210
2020-12-19 13:32,Mothica,VICES,177792
2020-12-19 13:35,Holly Humberstone,Falling Asleep At The Wheel,203247
2020-12-19 13:38,Pink Sweat$,17,160736
2020-12-19 13:41,Sabrina Carpenter,"Let Me Move You - From the Netflix film ""Work It""",147070
2020-12-19 13:45,GRACEY,Empty Love,207333
2020-12-19 13:46,Pabllo Vittar,Rajadão,25354
2020-12-19 13:46,Ella Eyre,L.O.V.(e).,16200
2020-12-19 13:46,Ariana Grande,Santa Tell Me,5940
2020-12-19 13:47,Mariah Carey,All I Want for Christmas Is You,31240
2020-12-19 13:47,Sasha Alex Sloan,I Saw Mommy Kissing Santa Claus - Spotify Holiday Single,10190
2020-12-19 13:47,Rostam,Fairytale of New York - Recorded at Spotify Studios NYC,11130
2020-12-19 13:47,Adam Lambert,Please Come Home For Christmas,1390
2020-12-19 13:51,Nelly Furtado,Promiscuous,242200
2020-12-19 13:55,OMC,How Bizarre,224200
2020-12-19 13:59,PUBLIC,Make You Mine,232906
2020-12-19 14:02,Sky McCreery,Drew Barrymore,135483
2020-12-19 14:03,24kGoldn,Coco (feat. DaBaby),14373
2020-12-19 14:05,Hailee Steinfeld,End This (L.O.V.E.),116600
2020-12-19 14:06,Duncan Laurence,Arcade (feat. FLETCHER),28180
2020-12-19 14:09,Aly & AJ,Potential Breakup Song,219773
2020-12-19 14:10,Kenndog,Drip Like ME,73656
2020-12-19 14:11,flora cash,You're Somebody Else,8710
2020-12-19 14:13,24kGoldn,Mood (feat. iann dior),140525
2020-12-19 14:13,Arc North,Faded,22764
2020-12-19 14:17,Internet Money,Lemonade,195428
2020-12-19 14:21,Milwin,A Little Love,195744
2020-12-19 14:24,DNT RYE,Stockholm Love,196463
2020-12-19 14:27,Saweetie,Tap In,139413
2020-12-19 14:30,Dastic,Dancing in the Moonlight,183013
2020-12-19 14:33,Onda Norte,Falling,194086
2020-12-19 14:37,Drake,Toosie Slide,247058
2020-12-19 14:38,Scarlets Blade,Make Me,20705
2020-12-20 12:51,Scarlets Blade,Make Me,135882
2020-12-20 12:54,Discofields,Work It Out,159505
2020-12-21 09:52,Alex France,Wave,164859
2020-12-21 09:54,PURE,Give It to Me,138064
2020-12-21 09:58,Billie Eilish,everything i wanted,245425
2020-12-21 10:02,Vicetone,Astronomia,198095
2020-12-21 10:06,Rich The Kid,Plug Walk,175229
2020-12-21 10:09,Cardi B,WAP (feat. Megan Thee Stallion),187541
2020-12-21 10:13,Studio Killers,Jenny (I Wanna Ruin Our Friendship),215280
2020-12-21 10:15,Ariana Grande,positions,172324
2020-12-21 10:19,SUD,Dreams,183870
2020-12-21 10:23,Drake,Toosie Slide,247058
2020-12-21 10:26,Karri,TikTok Shawty,158276
2020-12-21 10:29,Kimotion,The A Team,198000
2020-12-21 10:33,Victoria Voss,Don't Change the Subject,194962
2020-12-21 10:36,Lil Mosey,Blueberry Faygo,162546
2020-12-21 10:38,Kyan Palmer,Stay at Home Celebrity,149027
2020-12-21 10:41,lilbootycall,Do or Die (feat. Liana Banks),166417
2020-12-21 10:43,Claire Rosinkranz,Backyard Boy,129240
2020-12-21 10:47,Lucas Estrada,Body,153471
2020-12-21 10:50,Roddy Ricch,The Box,196652
2020-12-21 10:53,Sam Fischer,This City Remix (feat. Anne-Marie),197328
2020-12-21 10:59,The Prince Karma,Later Bitches,247976
2020-12-21 11:03,Dua Lipa,Don't Start Now,183290
2020-12-21 11:07,Mariah Carey,All I Want for Christmas Is You,197526
2020-12-22 06:44,Mariah Carey,All I Want for Christmas Is You,43826
2020-12-22 06:47,Ashnikko,Daisy,146523
2020-12-22 06:50,Jawsh 685,Savage Love (Laxed - Siren Beat),171374
2020-12-22 06:53,Madism,Ride,154549
2020-12-22 06:57,Pop Smoke,Mood Swings (feat. Lil Tjay),206008
2020-12-22 06:58,DripReport,Skechers,106000
